日付,曜日,テーマNo,テーマ ( タイトル ),AIへの命令文の例
2027/05/30,日,No.03349,枯れ木に咲き続ける満開の桜,完全に枯れて黒くなった桜の古木。しかし、その枝には満開の桜の花が散ることなく、鮮やかに咲き続けている（生と死の同居）。
2027/05/31,月,No.03350,幽霊と共同生活する家族,食卓を囲む家族。そのうちの一人（父親など）が、体が透けた「幽霊」の姿だが、他の家族は全く気にせず、普通に会話しながら食事をしている。
2027/06/01,火,No.03351,死後も成長を続ける都市,廃墟のようでありながら、新しい建物が勝手に生えてくるように建設され続けている都市の風景を生成してください。人影はなく、建物だけが有機的に増殖している様子。
2027/06/02,水,No.03352,生まれながらにして半分腐敗している人々,半分が健康な肉体で、もう半分が腐敗したり骸骨化したりしている人々が、普通の日常を送っている様子を描いてください。カフェでお茶を飲んだり、公園を散歩したりしている。
2027/06/03,木,No.03353,複雑すぎる歯車,巨大な時計の内部。一つの小さな歯車が、時計全体の機構よりもはるかに複雑で精巧な内部構造を持っている様子を、拡大して描写してください。
2027/06/04,金,No.03354,都市を内包する家,外から見ると小さな一軒家だが、そのドアを開けると内部に巨大な都市（高層ビル群、高速道路など）が広がっている様子を生成してください。
2027/06/05,土,No.03355,森より重い一枚の葉,一人の人物が、森全体よりも重いと感じさせる、巨大で高密度な一枚の葉を苦労して運んでいる様子を描いてください。葉は金属のような光沢を放っている。
2027/06/06,日,No.03356,本体を操る影,人物の影が本体よりもはるかに大きく、意志を持っているかのように本体の手足を操り、踊らせている様子を生成してください。本体は操り人形のようです。
2027/06/07,月,No.03357,同時存在する過去と未来,一つの部屋の中で、同じ人物の子供時代、現在、老年期の姿が同時に存在し、それぞれ別のことをしている（例：子供は遊び、現在は読書、老人は窓の外を眺める）様子を描いてください。
2027/06/08,火,No.03358,重なり合う建設と崩壊,ある建物が、半分は建設中の鉄骨がむき出しの状態で、もう半分は崩壊した廃墟の状態であり、その二つが滑らかに融合している風景を生成してください。
2027/06/09,水,No.03359,スマートフォンを使う原始人,毛皮をまとった原始人が、焚き火の前で真剣な顔つきでスマートフォンを操作している様子を描いてください。背景にはマンモスが描かれている。
2027/06/10,木,No.03360,共存する馬車と未来の乗り物,石畳の古いヨーロッパ風の街並みを、優雅な馬車と、SF的な浮遊するエアカーが同じ道路を共有して走っている風景を生成してください。
2027/06/11,金,No.03361,眠るために起きる人々,人々が「よく眠る」ことだけを目的として日中活動している世界。例えば、疲れるために必死で運動したり、眠るための儀式として複雑な仕事をしたりしている様子。
2027/06/12,土,No.03362,循環する卵と鶏,巨大な卵が鶏を守るように包み込み、同時にその鶏が同じくらい巨大な卵を温めている、無限ループのようなシュールな光景を生成してください。
2027/06/13,日,No.03363,静寂から生まれる歌,完全な静寂（無音）の空間から、まるで結晶が生まれるように音符やメロディが実体化して流れ出す様子を、視覚的に表現してください。
2027/06/14,月,No.03364,鍵穴を開ける鍵,鍵穴の形をした鍵と、鍵の形をした鍵穴が互いに向き合っている、どちらが先か分からない禅問答のようなイメージを生成してください。
2027/06/15,火,No.03365,魚群であり個である魚,一匹の巨大な魚が、無数の小さな魚の集合体でできており、その形を保ちながら泳いでいる様子。時折、一部の小魚が群れから離れたり戻ったりする。
2027/06/16,水,No.03366,融合する群衆,広場に集まった大勢の群衆が、徐々に溶け合い、融合して、一体の巨大な人型の存在（巨人）を形成していく過程を描いてください。
2027/06/17,木,No.03367,分裂する思考,一人の人物の頭から、その人の思考や感情が別々の小さな人格（小人）となって飛び出し、お互いに議論したり喧嘩したりしている様子を生成してください。
2027/06/18,金,No.03368,一つの生命体としての森,森全体が、まるで一つの巨大な生き物のように呼吸し、脈動している様子。木々が手足のように動き、地面が皮膚のように波打っている。
2027/06/19,土,No.03369,希望を売る市場,薄暗い市場で、人々が「希望」の光る種や結晶を、天秤で重さを測ったり、虫眼鏡で品質を確かめたりしながら売買している風景を描いてください。
2027/06/20,日,No.03370,実体化した恐怖,都市の上空に、人々の「恐怖」が集まってできた巨大な、不定形の怪物が現れ、影を落としている様子。人々はそれを見上げて怯えている。
2027/06/21,月,No.03371,時間の壁,空間に、半透明で触れることのできる「時間の壁」が存在し、壁の向こう側は過去や未来の風景が見えている。人々がその壁に触れたり、迂回したりしている様子。
2027/06/22,火,No.03372,浮かび上がるアイデア,会議室や研究室で、人々が議論していると、良いアイデアが文字通り電球や光る球体となって頭上に浮かび上がる様子を生成してください。
2027/06/23,水,No.03373,必然のサイコロ,カジノのテーブルで、ある人物がサイコロを振ると、その目が回転しながらも必ず「6」の目で着地する様子。周りの人々は驚愕している。
2027/06/24,木,No.03374,必ず失敗する計画,完璧な設計図と計画表（強盗計画など）の前で、計画実行者が必ずバナナの皮で滑って転ぶなど、予期せぬ偶然で失敗しているコミカルな様子。
2027/06/25,金,No.03375,全員が当選する宝くじ,宝くじの当選発表会場で、集まった全員が自分のくじ番号が当選していることに気づき、喜びと同時に混乱している様子を描いてください。
2027/06/26,土,No.03376,ランダムなタイプライター,猿がタイプライターをランダムに叩いているが、そこからシェイクスピアの完璧な戯曲が打ち出されている様子を生成してください。
2027/06/27,日,No.03377,複雑すぎる一本の線,画家がキャンバスに一本の線を描こうとしているが、その背後には黒板いっぱいの超複雑な数式と計算があり、汗だくで苦悩している様子。
2027/06/28,月,No.03378,単純なルールの巨大都市,上空から見た巨大で複雑な都市。しかし、その都市の唯一のルールが「右折禁止」だけであり、その影響で奇妙な都市構造になっている様子。
2027/06/29,火,No.03379,赤ん坊の笑顔の数式,赤ん坊が天使のように微笑んでいる。その周りの空間に、その笑顔を構成するための非常に複雑で美しい数学の方程式が浮かび上がっている様子。
2027/06/30,水,No.03380,1ピースのジグソーパズル,テーブルの上に、たった1ピースだけのジグソーパズルが置かれているが、その形が自己矛盾しており（例：エッシャーのだまし絵のよう）、どうやっても枠にはまらない様子。
2027/07/01,木,No.03381,出口が近い無限廊下,一見するとどこまでも無限に続いているように見える、模様が繰り返される廊下。しかし、視線の先、すぐそこに「出口」のドアがはっきりと見えている。
2027/07/02,金,No.03382,箱の中の宇宙,一人の子供が小さな木箱を開けると、その中に息をのむような美しい銀河や星雲が無限に広がっている様子を、驚きの表情と共に描いてください。
2027/07/03,土,No.03383,永遠に感じる1分間,時計の秒針が「1分」の間だけ、まるで永遠に動かないかのように止まって見える。人々はその1分間の静寂の中で、非常に長く濃密な時間を過ごしている様子。
2027/07/04,日,No.03384,なくならない有限の砂,手のひらに乗るほどのわずかな砂。しかし、その砂をいくらこぼしても、手のひらの砂が全く減らない様子を不思議そうに見つめる人物。
2027/07/05,月,No.03385,歩けないが飛べる人々,足が退化して歩くことができない人々が、代わりに美しい翼を持ち、街中を自由に飛び回って生活している（例：空中で会話する、ビルの窓から出入りする）様子。
2027/07/06,火,No.03386,不可能な家の設計図,建築家が、ペンローズの階段やネッカーの立方体のような、物理的に不可能な構造（だまし絵）でできた家の設計図を真剣に描いている様子。
2027/07/07,水,No.03387,水面を歩く人々,池や湖の上を、人々がまるで地面のように普通に歩いたり、ピクニックをしたりしている。しかし、岸に上がろうとすると（地面を歩こうとすると）沈んでしまう。
2027/07/08,木,No.03388,影を掴む,ある人物が、地面に落ちた自分自身の影を、まるで布か何かのように手で掴み、持ち上げようとしている瞬間を描いてください。影には物質的な感触があるようです。
2027/07/09,金,No.03389,1個が10個より重いリンゴ,天秤の片方に1個のリンゴ、もう片方に10個のリンゴが乗っているが、1個のリンゴの方が重く、天秤が傾いている様子。
2027/07/10,土,No.03390,3つ星の星空,夜空全体が、たった3つの非常に明るく巨大な星だけで構成されている。他には何も見えない、ミニマルで奇妙な星空を生成してください。
2027/07/11,日,No.03391,「0」で満たされたコップ,透明なグラスに「0」という数字が書かれているが、そのグラスは透明な液体でなみなみと満たされている様子。
2027/07/12,月,No.03392,逆転する通貨,市場で、人々がお金を支払えば支払うほど（多くなるほど）、財布の中のお金が増えていき（少なくなる）、逆に物を受け取るとお金が減っていく奇妙な経済活動。
2027/07/13,火,No.03393,「炎」という名の氷像,燃え盛る炎の形をした、非常に精巧な氷の彫刻。氷は青白く輝き、周囲には冷気が漂っている様子。
2027/07/14,水,No.03394,「平和」と呼ばれる戦争兵器,「PEACE」や「平和」とペイントされた巨大なミサイルや戦車が、美しい花畑の真ん中に鎮座している皮肉な光景。
2027/07/15,木,No.03395,人間を製造するロボット,「人間」と書かれた名札をつけたロボットが、工場のラインで「ロボット」と書かれた名札をつけた人間（サイボーグ？）を組み立てている様子。
2027/07/16,金,No.03396,逆さまの「空」と「大地」,人々が空（地面に見える）に向かって家を建て、大地（空に見える）を泳ぐ魚を見上げている、上下が逆転した世界の風景。
2027/07/17,土,No.03397,逆行する人生,老人の姿で生まれ、徐々に若返っていき、最終的に赤ん坊の姿で「終わり」を迎える人物の一生を、一枚の絵の中で表現してください。
2027/07/18,日,No.03398,スタートラインのゴールテープ,陸上トラックのスタートラインに、ゴールテープが張られており、ランナーたちがそこを通過してレースを「開始」しようとしている瞬間。
2027/07/19,月,No.03399,ループする本,開かれた本の最後のページ。その最後の文章が、そのまま最初のページの最初の文章に繋がっており、物語が無限にループしていることが示されている。
2027/07/20,火,No.03400,日没で始まる一日,夕焼けで太陽が沈む瞬間、街の人々が「おはよう」と挨拶を交わし、活動を始める（例：会社に行く、店を開ける）様子を描いてください。街灯が「朝焼け」のように灯る。
2027/07/21,水,No.03401,歓喜に沸く葬儀,厳かな葬儀の参列者全員が、故人を偲ぶどころか、満面の笑みで歓声を上げ、紙吹雪を撒いている様子を描いてください。
2027/07/22,木,No.03402,液体化したダイヤモンド,王冠に飾られた巨大なダイヤモンドが、水銀のように溶け出し、滴り落ちている瞬間を、リアルな質感で描いてください。
2027/07/23,金,No.03403,ネオン街の縄文人,サイバーパンクなネオンが輝く高層ビル街を、毛皮をまとった縄文人が狩りの道具を持って歩いている姿を生成してください。
2027/07/24,土,No.03404,羊飼いの狼,狼が、羊の群れを優しく誘導し、外敵から守る羊飼いとして働いている、のどかな牧草地の風景を描いてください。
2027/07/25,日,No.03405,石造りの森,木々や草花がすべて、苔むした石や大理石でできており、風にそよぐ代わりに静止している不思議な森を描いてください。
2027/07/26,月,No.03406,無重力の滝,水が下に落ちるのではなく、上へ、あるいは横へと不規則に流れ、水しぶきが球体となって漂う無重力空間の滝を生成してください。
2027/07/27,火,No.03407,記憶を編む老婆,老婆が、光る糸（記憶）を使い、巨大なタペストリーに人生の出来事を編み込んでいる幻想的な室内を描いてください。
2027/07/28,水,No.03408,退屈な戦場,兵士たちが銃撃戦の最中にもかかわらず、あくびをしたり、スマホをいじったりして、極度に退屈している様子を描いてください。
2027/07/29,木,No.03409,ささやく影,自分の影が、自分とは別の意志を持ち、耳元で何かをささやきかけているような、不気味でシュールな情景を生成してください。
2027/07/30,金,No.03410,蝶の羽で空を飛ぶ戦艦,巨大な戦艦が、推進器の代わりに色鮮やかな蝶の巨大な羽を無数に羽ばたかせて、青空を優雅に飛行している姿を描いてください。
2027/07/31,土,No.03411,涙の結晶でできた宝石,悲しみの涙が凍りつき、複雑な結晶構造を持つ美しい宝石となって輝いている様子を、マクロレンズで捉えたように描いてください。
2027/08/01,日,No.03412,古代遺跡に着陸する宇宙船,マヤのピラミッドやローマのコロッセオのような古代遺跡の広場に、未来的なデザインの宇宙船が静かに着陸している風景を生成してください。
2027/08/02,月,No.03413,甘い香りのする悪夢,お菓子や花々で彩られたメルヘンチックな世界で、見るからに恐ろしい怪物が、甘い綿あめを差し出してくる悪夢のような光景を描いてください。
2027/08/03,火,No.03414,主人に仕える臆病なライオン,立派なたてがみを持つ巨大なライオンが、小さな主人（子供）の後ろに隠れ、何かに怯えて震えている様子を生成してください。
2027/08/04,水,No.03415,雲を貫く巨大なタンポポ,綿毛が雲よりも大きく、その茎が地上から空高く伸びて雲を貫いている、超巨大なタンポポを描いてください。
2027/08/05,木,No.03416,沈黙を奏でるオーケストラ,指揮者と演奏者たちが情熱的に楽器を演奏しているが、音は一切出ておらず、代わりに色とりどりの光が楽器から放たれている様子を描いてください。
2027/08/06,金,No.03417,歯車で動く心臓,人間の胸郭が開き、そこには脈打つ心臓の代わりに、精密な歯車と蒸気で動く機械仕掛けの心臓が収まっているスチームパンクなイラストを生成してください。
2027/08/07,土,No.03418,空から魚が降ってくる街,傘をさして歩く人々の上空から、雨粒と共に色とりどりの魚が大量に降ってくる、シュールな都市の風景を描いてください。
2027/08/08,日,No.03419,記憶を食べる図書館,図書館の訪問者が本を読むと、その内容を記憶する代わりに、本が訪問者の記憶を吸い取っていく。記憶を失い呆然とする人と、輝く本を描いてください。
2027/08/09,月,No.03420,蒸気機関で動くピラミッド,古代エジプトのピラミッドが、巨大な蒸気機関と歯車によって動く移動要塞として描かれている、歴史IFの風景を生成してください。
2027/08/10,火,No.03421,怒りを燃料にする蒸気機関車,乗客の怒りや不満をエネルギーに変えて走る蒸気機関車。怒鳴り声が煙突から黒い煙となって吹き出している様子を描いてください。
2027/08/11,水,No.03422,回路基板のように広がる森,森の木々や根、葉脈が、電子回路のパターンのように幾何学的に、そして発光しながら広がっている、テクノロジーと自然が融合した風景を描いてください。
2027/08/12,木,No.03423,夢日記から実体化する怪物,少女が書いた夢日記のページから、インクが実体化し、奇妙な形の怪物が這い出してくる様子を、薄暗い部屋の中で描いてください。
2027/08/13,金,No.03424,おとぎ話の姫がサイバーパンクの世界へ,優雅なドレスを着たおとぎ話のお姫様が、ネオンきらめくサイバーパンク都市の雑踏に迷い込み、途方に暮れている姿を生成してください。
2027/08/14,土,No.03425,重力が絵の具のように垂れる空間,空間の一部で重力が異常をきたし、建物や人々が絵の具のように地面に向かって垂れ下がっている、ダリ風のシュールな風景を描いてください。
2027/08/15,日,No.03426,浮世絵とサイバーパンクの融合,ネオンサインが輝く高層ビル街を、着物を着たサイボーグの侍が、浮世絵の構図と筆致で描かれているイラストを生成してください。
2027/08/16,月,No.03427,満員電車にいる宇宙人,混雑した満員電車の中で、一人だけ明らかに人間ではない、触手や複数の目を持つ宇宙人が、平然と吊り革に掴まっている日常風景を描いてください。
2027/08/17,火,No.03428,「猫の手も借りたい」オフィス,「猫の手も借りたい」ほど忙しいオフィスで、本当に猫たちがスーツを着て、キーボードを打ったり電話応対をしたりしている様子をコミカルに描いてください。
2027/08/18,水,No.03429,翼の生えた魚,海の中ではなく、大空を群れで飛翔する、鳥の翼を持った色鮮やかな魚たちを描いてください。
2027/08/19,木,No.03430,記憶が宝石になる図書館,図書館の本棚に本はなく、代わりに人々が寄贈した「記憶」が詰まった色とりどりの宝石が並べられている様子を描いてください。
2027/08/20,金,No.03431,雨が降ってから雲ができる,地面から水滴が逆流するように空に昇り、それが集まって雲を形成していく、因果関係が逆転した世界の風景を生成してください。
2027/08/21,土,No.03432,感謝の言葉が花になる,人々が「ありがとう」と言うたびに、その口から美しい花が咲き、宙に舞っていく心温まる情景を描いてください。
2027/08/22,日,No.03433,忘れられた記憶の墓場,人々から忘れ去られた記憶が、古い墓石や石碑となって静かに佇んでいる、霧深い墓場の風景を描いてください。
2027/08/23,月,No.03434,和室の畳が生えている森,森の地面がすべて緑色の畳で覆われており、木々の代わりに巨大な障子やふすまが立ち並んでいる奇妙な風景を生成してください。
2027/08/24,火,No.03435,ペンが小説家を雇う,巨大な万年筆が、小さな人型の小説家にインクを与え、物語を書くように指示している、シュールな力関係の逆転を描いてください。
2027/08/25,水,No.03436,怒りで夏が来る,一人の人物が激しく怒ると、その周囲の季節が瞬時に冬から真夏に変わり、雪が溶け、汗が噴き出す様子を描いてください。
2027/08/26,木,No.03437,赤ちゃんの外見の賢者,見た目はよだれかけをした赤ちゃんだが、その目には深い知性が宿り、老賢者のような威厳で人々に教えを説いている姿を生成してください。
2027/08/27,金,No.03438,隣の部屋まで10年かかる,物理的にはすぐ隣の部屋なのに、そこへ続く廊下が時間の歪みで異常に長く、10年分の老化を表現するような空間を描いてください。
2027/08/28,土,No.03439,赤い色が爆発音で聞こえる,街中の赤いポスト、信号、リンゴなど、赤いもの全てが「ドーン！」という爆発音として認識される世界を、視覚と聴覚が混乱したように描いてください。
2027/08/29,日,No.03440,風船が地面に沈む,お祭りの広場で、子供たちが持っている色とりどりの風船が、ヘリウムではなく重い鉛のように、ゆっくりと地面に沈んでいく光景を描いてください。
2027/08/30,月,No.03441,家の外側に家具がある,家の壁や屋根の内側は空っぽで、ソファやベッド、タンスなどの家具がすべて家の外壁に配置されている、奇妙な建築様式を生成してください。
2027/08/31,火,No.03442,走っている人が静止画,マラソン大会で、大勢のランナーが必死に走るポーズをしているが、実際には完全に静止しており、背景だけが流れているような不思議な瞬間を描いてください。
2027/09/01,水,No.03443,四角い形の時計が料理をする,壁にかかった四角いアナログ時計が、長針と短針を器用に使ってフライパンで料理をしている、ありえない機能を持つオブジェを描いてください。
2027/09/02,木,No.03444,死んだ花が咲き続ける,花瓶に挿された花が、完全に枯れて茶色くなっているにもかかわらず、毎朝新しい花を咲かせ、満開の状態を保っている様子を描いてください。
2027/09/03,金,No.03445,指先が体より大きい,人物の指先（特に人差し指）が、その人物の体全体よりもはるかに大きくデフォルメされた、アンバランスでシュールなポートレートを生成してください。
2027/09/04,土,No.03446,恐竜と宇宙人が同じ時代にいる,T-レックスが闊歩するジュラ紀の森で、銀色の宇宙服を着た宇宙人がレーザー銃を構え、恐竜と対峙している風景を描いてください。
2027/09/05,日,No.03447,火が水を生む,燃え盛る炎の先端から、水が湧き出し、その水が炎を消すことなく流れ落ちていく、矛盾した自然現象を描いてください。
2027/09/06,月,No.03448,一人の人間が群衆になる,一人の人物が歩き出すと、その残像が実体化して次々と分裂し、あっという間に大勢の群衆（すべて同じ顔）になる様子を生成してください。
2027/09/07,火,No.03449,愛が触れることができる球体,「愛」という概念が、温かく発光する透明な球体として実体化し、人々がそれを手で触れ、受け渡ししている情景を描いてください。
2027/09/08,水,No.03450,毎回サイコロが同じ目を出す,カジノのテーブルで、ディーラーが何度サイコロを振っても、必ず「1」の目しか出ない。人々がその必然性に困惑している様子を描いてください。
2027/09/09,木,No.03451,宇宙の仕組みが一目で分かる,非常に複雑であるはずの宇宙の法則や銀河の成り立ちが、子供向けの絵本のように、極めて単純な図解で壁一面に描かれている様子を生成してください。
2027/09/10,金,No.03452,1秒が永遠に続く,時計の秒針が「1秒」を指したまま止まっているが、その1秒の中で人々は一生を終え、都市が繁栄し衰退していく、時間の流れが歪んだ世界を描いてください。
2027/09/11,土,No.03453,不可能なことが簡単にできる,逆さまに流れる川、空を泳ぐ豚、四角い円などが、ごく当たり前の日常風景として描かれている、不可能が可能な世界を生成してください。
2027/09/12,日,No.03454,1個のリンゴが100個より多い,市場で、たった1個のリンゴが、山積みの100個のリンゴよりも高い価値を持ち、人々がその1個を奪い合っている様子を描いてください。
2027/09/13,月,No.03455,「猫」という名前が犬を指す,ペットショップで、「猫」というラベルが貼られたケージの中に、元気に尻尾を振る犬が入っている、名前と実体が入れ替わった世界を描いてください。
2027/09/14,火,No.03456,人生の始まりが死,墓場で赤ん坊が生まれ（死）、そこから若返りながら人生を逆行し、最後は母の胎内（始まり）に戻る、不思議な一生を描いてください。
2027/09/15,水,No.03457,雨が降る理由が雲を作る,人々が「雨が降ってほしい」と強く願う（理由）ことで、何もない空に雲が発生し（原因）、雨が降る世界を描いてください。
2027/09/16,木,No.03458,「なぜ？」という質問が答え,哲学者が「なぜ？」と問いかけると、その言葉自体が輝き、宇宙の真理（答え）を映し出す球体となって現れる瞬間を描いてください。
2027/09/17,金,No.03459,勉強すればするほど頭が悪くなる,山積みの教科書を前に必死で勉強している学生が、どんどん幼児退行していく（知識が失われていく）様子をコミカルに描いてください。
2027/09/18,土,No.03460,昨日の記憶が明日の出来事,人々が「昨日の記憶」として語っている内容が、実際には「明日の予言」であり、その通りの出来事が起こっていく世界を描いてください。
2027/09/19,日,No.03461,全員が違う服を着ているのに同じに見える,広場に集まる人々が、色も形も全く異なる奇抜なファッションをしているのに、なぜか全員が同じに見える、個性が統一された不思議な光景を描いてください。
2027/09/20,月,No.03462,無音が爆音に聞こえる,静寂な図書館で、人々が耳を塞ぎ、あまりの「うるささ」（無音）に苦悶の表情を浮かべている様子を描いてください。
2027/09/21,火,No.03463,失敗することが最高の成功,発明家が、狙い通りに大失敗した（爆発した）装置を見て、ガッツポーズで喜んでいる。成功（失敗）を祝う人々を描いてください。
2027/09/22,水,No.03464,花が汚く見える,美しい花畑にいる人々が、まるでゴミの山を見るかのように顔をしかめ、鼻をつまんでいる、美醜が逆転した世界を描いてください。
2027/09/23,木,No.03465,真実を言うと嘘になる,法廷で、証人が「真実」を語った瞬間、その言葉が黒い煙となって消え、誰も信じなくなる。嘘（真実）がまかり通る世界を描いてください。
2027/09/24,金,No.03466,愛するほど憎しみが深くなる,愛し合う二人が抱きしめ合っているが、その表情は愛ではなく憎しみに満ち、お互いを傷つけようとしている矛盾した情景を描いてください。
2027/09/25,土,No.03467,希望を持つと絶望し、絶望すると希望が生まれる,希望の光に向かって手を伸ばす人が絶望の闇に落ち、逆に絶望の底でうずくまる人から希望の光が生まれている、循環する感情を描いてください。
2027/09/26,日,No.03468,何でもできる自由が最大の束縛,真っ白な無限の空間で、何でも創造できる「完全な自由」を与えられた人が、選択肢が多すぎて何もできず、鎖に繋がれたように動けない様子を描いてください。
2027/09/27,月,No.03469,何も知らないほど何でも知っている,「私は何も知らない」と語る老賢者の周りに、あらゆる知識を求めて人々が集まっている。逆に「何でも知っている」と豪語する学者は誰にも相手にされていない様子を描いてください。
2027/09/28,火,No.03470,筋肉があるほど弱い,ボディビルダーのような筋骨隆々の男が、小さな子供に腕相撲で簡単に負かされている、強さと弱さが逆転したコミカルなシーンを描いてください。
2027/09/29,水,No.03471,新幹線がカタツムリより遅く見える,猛スピードで走る新幹線の横を、カタツムリが悠々と追い越していく。時間の流れが異なるかのような不思議な光景を描いてください。
2027/09/30,木,No.03472,太陽が闇のように暗い,真昼の空に輝く太陽が、まるでブラックホールのように光を吸収し、周囲を暗闇に包んでいる、明るさと暗さが混在した風景を描いてください。
2027/10/01,金,No.03473,火が冷たく感じる,人々がキャンプファイヤーの燃え盛る炎に手をかざし、「冷たい」と言って暖（？）をとっている。炎が青白く、氷のように見える様子を描いてください。
2027/10/02,土,No.03474,綿が岩のように硬い,ふかふかの綿（わた）の上に着地しようとした人が、まるで硬い岩にぶつかったかのように跳ね返されている、柔らかさと硬さが転換した瞬間を描いてください。
2027/10/03,日,No.03475,砂糖が苦く感じる,カフェで、コーヒーに大量の砂糖を入れた客が、一口飲んで「苦い！」と顔をしかめている。砂糖の結晶が黒く、苦そうに見える様子を描いてください。
2027/10/04,月,No.03476,花の香りが腐敗臭に感じる,美しいバラ園で、人々がその「香り」に耐えられず、鼻をつまんで逃げ出そうとしている。香りが緑色の靄（もや）のように描かれている様子を生成してください。
2027/10/05,火,No.03477,美しい音楽が雑音に聞こえる,コンサートホールで、交響楽団が完璧な演奏をしているが、観客は耳を塞ぎ、まるで工事現場の騒音を聞いているかのような苦痛の表情を浮かべている様子を描いてください。
2027/10/06,水,No.03478,混乱した場所が整然としているように見える,ゴミが散乱し、物が壊れている混沌とした部屋を、ある人物だけが、完璧に整頓された美しい部屋として認識し、くつろいでいる様子を描いてください。
2027/10/07,木,No.03479,同じパターンが無限に変化する,単純な水玉模様の壁紙を見つめていると、その水玉が一つ一つ、万華鏡のように無限に形や色を変え続ける様子を生成してください。
2027/10/08,金,No.03480,確実なことが不確実になる,「1+1=2」という確実な数式が、黒板の上で「1+1=3?」や「1+1=魚?」のように、次々と不確実な答えに書き変わっていく様子を描いてください。
2027/10/09,土,No.03481,数学的に正しいことが間違いになる,大学の講義で、教授が完璧な数学的証明を黒板に書いているが、学生たちは「それは非論理的だ」と首を振り、誰も納得していない様子を描いてください。
2027/10/10,日,No.03482,効率的なことが非効率になる,最新鋭のロボットアームが高速で作業（例：箱詰め）をしているが、その動きが非効率的で、結局手作業でやった方が早いというコミカルな状況を描いてください。
2027/10/11,月,No.03483,ガラスでできた嵐,嵐が吹き荒れているが、雨粒や風、稲妻までもが、硬いガラスの破片や彫刻のようになって降り注ぐ、危険で美しい風景を描いてください。
2027/10/12,火,No.0S3484,溶けない雪だるま,真夏のビーチで、灼熱の太陽が照りつける中、汗ひとつかかずに（溶けずに）平然と立っている雪だるまを描いてください。
2027/10/13,水,No.03485,未来都市のサムライ,ネオンが輝く高層ビル群や飛行する車を背景に、伝統的な甲冑を身に着けたサムライが、刀を構えて静かに立っている姿を生成してください。
2027/10/14,木,No.03486,温かい氷,氷の塊に触れている手が、火傷したかのように赤くなっている。氷からは湯気が立ち上っているような、温かい氷の表現を描いてください。
2027/10/15,金,No.03487,時間の化石,地層の中に、恐竜の化石と並んで、「過去の時間」そのものが結晶化したり、時計の残骸のような形で「化石」として埋まっている様子を描いてください。
2027/10/16,土,No.03488,ネズミに怯える猫,大きな猫が、自分よりはるかに小さいネズミを見て、恐怖のあまり毛を逆立て、飛び上がって逃げようとしているコミカルなシーンを描いてください。
2027/10/17,日,No.03489,指先に乗るほど小さな象,人間の指先に、実物と見紛うほど精巧な、しかし豆粒ほどの大きさしかない小さな象が乗っている、スケールが狂った写真風の画像を描いてください。
2027/10/18,月,No.03490,味の見えるレストラン,レストランで料理が運ばれてくると、その料理から「味」がオーラや光、あるいは具体的なイメージ（例：甘さは花、辛さは炎）として立ち上り、目に見える様子を描いてください。
2027/10/19,火,No.03491,影から生まれた生き物,人間の影が、地面から実体化して立ち上がり、影の主とは別に動き出す。その影の生き物は、平面的な黒い姿をしている様子を描いてください。
2027/10/20,水,No.03492,アナログなハッカー,最新のセキュリティシステムを突破しようとしているハッカーが、コンピューターではなく、巨大なダイヤル錠や古い電話交換機のようなアナログ機器を操作している様子を描いてください。
2027/10/21,木,No.03493,沈黙が通貨になる国,市場で、人々がお金ではなく「沈黙」（息を止めたり、静かにしたりする時間）を対価として支払い、商品を受け取っている不思議な光景を描いてください。
2027/10/22,金,No.03494,歌うことで発電する花,巨大な花の形をした発電所があり、その花が美しい歌声（あるいは音波）を発することで、街全体の電力を賄っている幻想的な風景を生成してください。
2027/10/23,土,No.03495,銀河が詰まったティーカップ,テーブルに置かれたアンティークのティーカップの中身が、紅茶ではなく、渦巻く星雲や無数の星々が輝く「銀河」になっている様子を、上からのぞき込む視点で描いてください。
2027/10/24,日,No.03496,ローマ帝国が現代まで存続した世界,現代の東京やニューヨークのような大都市の風景だが、建物はローマ建築風で、人々はトーガを着て、道路を戦車（馬車）が走っている、歴史IFの都市景観を描いてください。
2027/10/25,月,No.03497,悲しみが雨になる街,街の人々が悲しい思いをすると、その人の頭上だけ局地的に雨雲ができ、悲しみの涙のように雨が降る。街中が傘だらけの様子を描いてください。
2027/10/26,火,No.03498,クジラの背中に建つ都市,巨大なクジラの背中に、サンゴや貝殻でできた建物が立ち並び、人々が生活している。クジラが海を泳ぐことで都市が移動する、幻想的な海上都市を描いてください。
2027/10/27,水,No.03499,現実の出来事が毎晩の夢を書き換える,現実世界で起こった出来事（例：リンゴを食べる）が、その夜の夢に即座に反映され、夢の中の風景（例：木がリンゴだらけになる）がリアルタイムで書き換わっていく様子を描いてください。
2027/10/28,木,No.03500,円周率が模様になった空,空が、数字の「3.14159...」という円周率の羅列でできた模様やテクスチャで覆われている、数学的でシュールな風景を描いてください。
2027/10/29,金,No.03501,アール・ヌーヴォー様式の宇宙船,宇宙空間に浮かぶ宇宙船が、機械的なデザインではなく、アール・ヌーヴォー特有の曲線的な植物の蔓や花、女性像のレリーフで装飾されている様子を描いてください。
2027/10/30,土,No.03502,教室の机が一つだけ浮いている,ごく普通の学校の教室で、生徒たちが授業を受けている中、窓際の一つの机だけが、生徒ごと数センチメートル床から浮遊している非日常的な光景を描いてください。
